Dataset,vertices_removed,edges_removed,oct,bipartite
gka_1,4,0,2,9
gka_10,0,0,18,0
gka_11,0,0,26,0
gka_12,0,0,26,0
gka_13,0,0,40,0
gka_14,0,0,44,0
gka_15,4,0,76,0
gka_16,4,0,86,0
gka_17,4,0,96,0
gka_18,0,0,118,1
gka_19,0,0,1,0
gka_2,1,0,1,1
gka_20,0,0,0,0
gka_21,0,0,0,0
gka_22,0,0,0,0
gka_23,0,0,0,0
gka_24,0,0,0,0
gka_25,0,0,0,1
gka_26,0,0,0,0
gka_27,0,0,0,0
gka_28,0,0,0,0
gka_29,0,0,0,0
gka_3,0,0,0,4
gka_30,0,0,0,0
gka_31,0,0,0,0
gka_32,0,0,0,0
gka_33,0,0,0,0
gka_34,0,0,0,0
gka_35,4,0,96,0
gka_36,0,0,0,0
gka_37,0,0,0,0
gka_38,0,0,0,0
gka_39,0,0,0,0
gka_4,0,0,0,0
gka_40,0,0,0,0
gka_41,0,0,0,0
gka_42,0,0,0,0
